year,Asset 1,Asset 2,Asset 3,Asset 4,Asset 5,Asset 6,Asset 7,Asset 8,Asset 9,Asset 10,Asset 11,Asset 12,Asset 1 Std,Asset 2 Std,Asset 3 Std,Asset 4 Std,Asset 5 Std,Asset 6 Std,Asset 7 Std,Asset 8 Std,Asset 9 Std,Asset 10 Std,Asset 11 Std,Asset 12 Std
0,0.1060509962340196,0.0842455603891895,0.08744395198743968,0.07701605796104385,0.09117960722318717,0.08240361669588657,0.07939060113969304,0.07953313295507715,0.08997884883234898,0.07336460346622127,0.08175111617006006,0.06764193947116534,0.06303481875718506,0.04932269176948302,0.04895934677451154,0.042210608392681766,0.05529544226955819,0.04512133037240323,0.04341197872766205,0.042394255128266535,0.04247930876891342,0.04229816374868402,0.044154511519556496,0.04197666907354076
1,0.08231636273364226,0.09076438063666933,0.09186350962235815,0.06329143751590025,0.08164615922030949,0.09038767459846678,0.09333209363477571,0.0731415255261319,0.07707240327837922,0.09089850153596628,0.09006191163900353,0.07522407197171734,0.035895604776824463,0.04172182464063569,0.05588352965009625,0.038225583278657355,0.048796094733908585,0.050575837724449034,0.045204366261661216,0.04249160514281536,0.04934896823780013,0.04626170485508728,0.045968601576388934,0.04506649609014665
2,0.08627373666635581,0.08835887444161233,0.06872840805777482,0.07969280614384583,0.0932078651019505,0.08757707884623891,0.09370368034357117,0.07335426548407191,0.057514869545896845,0.09239640260736147,0.10705499984323978,0.07213703640514896,0.0531001762477259,0.05090127607191343,0.04414166121257297,0.04034813647433323,0.048836190820281664,0.05034000898769555,0.050814268620523295,0.03953703666291979,0.02895352193768911,0.04837518638044474,0.04485461175070926,0.040300667768743095
3,0.0864503940301282,0.09243790503768694,0.08006260778222765,0.09251627375682195,0.0851581123613176,0.07683652122283266,0.07889032503146501,0.07460084200969765,0.08662396859200228,0.08765844136831306,0.07716750832540649,0.08159711238529001,0.04290532835585721,0.04646985544359053,0.03769689575849953,0.033875272705818464,0.04393243864797445,0.04380059045824217,0.04296615691034963,0.036721359235457565,0.03956525417437245,0.04127009104648251,0.048285619957456394,0.04334701238406841
4,0.08299779877776191,0.08967123375762076,0.1097190912990343,0.0750345985272101,0.0747481617189589,0.080556089377829,0.08718184025159904,0.06345075972023465,0.11231015037213053,0.09779802237947782,0.06340794057718345,0.06312434978428341,0.045370443069880445,0.048945047899957496,0.04930465955092939,0.052655879020405943,0.04732985122459933,0.043891090822278614,0.040462983445956925,0.0353881274693268,0.05394930303380647,0.05638090448518221,0.04357780060420164,0.03377657450062703
5,0.09365749838096755,0.09741360809476603,0.09288345800624007,0.07847808608341784,0.08068094524954046,0.0908400522101493,0.07445476076432637,0.07988038912770294,0.07741188901875701,0.08332328306777137,0.07317077629268169,0.07780530862510204,0.04890550219779864,0.04815745619430696,0.0471935620259408,0.04639652413615534,0.04581713565806448,0.0476016904130806,0.03850054002033744,0.048563348482717525,0.05057154531506144,0.04314104641393547,0.04521845925252238,0.04586915839411953
6,0.11645102146125975,0.07138754733439003,0.10117704673182397,0.07354376887281736,0.06694850744236083,0.06888135652102176,0.07717094811655226,0.07047438185129846,0.0857654897230012,0.10431245796027638,0.07457929170202642,0.0893082334615645,0.055176516583477234,0.052557391742331455,0.05344730438135132,0.040965919823400865,0.03779863088171783,0.03479605505392789,0.04688574473767135,0.03699500599147198,0.050686938439282084,0.05343875238187611,0.04750014839458766,0.05142999620764059
7,0.09702227864237059,0.07355440872765723,0.07052357328079996,0.0847067345111143,0.08893689610773609,0.08015478297713258,0.08632278319980417,0.0671993273354712,0.09494828615515005,0.0885150740721396,0.08294851148412341,0.08516738162863823,0.05548915514275793,0.0389635460814155,0.041178605682754235,0.042490008858591936,0.042276563980616993,0.04930840312097033,0.045856899423523674,0.04088416889687963,0.048522957700633924,0.0455507303087242,0.0430219217959397,0.05177374107827748
8,0.09378479855755965,0.09093468251327673,0.08252205932069392,0.09171579081032957,0.06713669372811204,0.07207922298638593,0.05989714321636018,0.07678801200929142,0.0800991449327696,0.09298351813285123,0.09489247986958141,0.09716645032167434,0.046165556983449825,0.0521650562891652,0.0401726541657144,0.04858171567854518,0.04873006297731293,0.03882421303159367,0.04076389912782287,0.04657502149553337,0.042354948307950266,0.04327956659021611,0.0503367436847594,0.03809398989561204
9,0.09184824134267512,0.08084770694729827,0.0985213384387039,0.07959677463486081,0.09223952830902167,0.09556574523448944,0.07714696444925807,0.07762808849414189,0.07269905640610627,0.07062491604260036,0.0800530444830656,0.08322864751375857,0.046278033072192304,0.04466220453946615,0.041881658374157006,0.04331447004476641,0.04600389114642415,0.040867644195876664,0.0381520035709626,0.04531058790130231,0.05154041729685936,0.043778403446147314,0.04398424377741918,0.048201559066672284
