Price,AMZN,EVRG,EXR,KMI,MAA,NU,NVDA,PSA,AVGO,T,VZ,XLF
Ticker,AMZN,EVRG,EXR,KMI,MAA,NU,NVDA,PSA,AVGO,T,VZ,XLF
Date,,,,,,,,,,,,
2005-01-03,2.2260000705718994,22.559999465942383,13.289999961853027,31.049999237060547,40.86000061035156,10.329999923706055,0.1965000033378601,55.29999923706055,1.6180000305175781,19.327795028686523,36.413578033447266,24.71161651611328
2005-01-04,2.1070001125335693,22.3799991607666,13.420000076293945,31.049999237060547,40.709999084472656,10.329999923706055,0.18725000321865082,54.599998474121094,1.6180000305175781,19.12386703491211,36.044857025146484,24.476036071777344
2005-01-05,2.0885000228881836,22.200000762939453,13.0,31.049999237060547,39.20000076293945,10.329999923706055,0.1889999955892563,52.650001525878906,1.6180000305175781,19.214502334594727,35.99089813232422,24.43541717529297
2005-01-06,2.052500009536743,22.270000457763672,13.449999809265137,31.049999237060547,40.0,10.329999923706055,0.1871670037508011,52.79999923706055,1.6180000305175781,18.995468139648438,35.568214416503906,24.557270050048828
2005-01-07,2.115999937057495,22.149999618530273,13.760000228881836,31.049999237060547,39.959999084472656,10.329999923706055,0.18358300626277924,53.04999923706055,1.6180000305175781,18.942598342895508,35.44231033325195,24.427295684814453
2005-01-10,2.0920000076293945,22.200000762939453,13.40999984741211,31.049999237060547,39.5099983215332,10.329999923706055,0.18400000035762787,52.849998474121094,1.6180000305175781,18.8066463470459,35.10056686401367,24.4516658782959
2005-01-11,2.0820000171661377,22.149999618530273,13.460000038146973,31.049999237060547,39.7599983215332,10.329999923706055,0.17833299934864044,52.619998931884766,1.6180000305175781,18.61782455444336,34.71385955810547,24.346059799194336
2005-01-12,2.115000009536743,22.25,13.5,31.049999237060547,39.810001373291016,10.329999923706055,0.17683300375938416,52.61000061035156,1.6180000305175781,18.738670349121094,34.381107330322266,24.313566207885742
2005-01-13,2.130000114440918,22.170000076293945,13.050000190734863,31.049999237060547,39.83000183105469,10.329999923706055,0.17866699397563934,52.91999816894531,1.6180000305175781,18.451662063598633,33.36487579345703,24.077985763549805
2005-01-14,2.2274999618530273,22.350000381469727,13.859999656677246,31.049999237060547,39.81999969482422,10.329999923706055,0.17925000190734863,53.2400016784668,1.6180000305175781,18.436555862426758,33.13105010986328,24.15921974182129
2005-01-18,2.2290000915527344,22.420000076293945,13.25,31.049999237060547,40.150001525878906,10.329999923706055,0.18208299577236176,55.06999969482422,1.6180000305175781,18.791540145874023,33.88648223876953,24.54102325439453
2005-01-19,2.197999954223633,22.3799991607666,13.300000190734863,31.049999237060547,40.349998474121094,10.329999923706055,0.1779170036315918,54.7599983215332,1.6180000305175781,18.72356414794922,32.96017837524414,24.297319412231445
2005-01-20,2.118000030517578,22.459999084472656,13.149999618530273,31.049999237060547,39.310001373291016,10.329999923706055,0.17833299934864044,54.54999923706055,1.6180000305175781,18.48187255859375,32.61843490600586,24.118602752685547
2005-01-21,2.058000087738037,22.5,13.180000305175781,31.049999237060547,39.400001525878906,10.329999923706055,0.17866699397563934,54.5,1.6180000305175781,18.56495475769043,32.825279235839844,23.99675178527832
2005-01-24,2.0190000534057617,22.780000686645508,13.229999542236328,31.049999237060547,39.15999984741211,10.329999923706055,0.17149999737739563,54.290000915527344,1.6180000305175781,18.53474235534668,33.140045166015625,24.004873275756836
2005-01-25,2.046999931335449,22.729999542236328,13.109999656677246,31.049999237060547,38.58000183105469,10.329999923706055,0.1745000034570694,53.16999816894531,1.6180000305175781,18.466766357421875,32.37561798095703,24.021120071411133
2005-01-26,2.066999912261963,22.700000762939453,12.949999809265137,31.049999237060547,38.709999084472656,10.329999923706055,0.17675000429153442,53.45000076293945,1.6180000305175781,18.56495475769043,32.843265533447266,24.134849548339844
2005-01-27,2.115499973297119,22.8700008392334,13.0,31.049999237060547,37.79999923706055,10.329999923706055,0.1909170001745224,52.709999084472656,1.6180000305175781,17.877643585205078,32.258705139160156,24.012998580932617
2005-01-28,2.1110000610351562,22.850000381469727,12.9399995803833,31.049999237060547,37.84000015258789,10.329999923706055,0.19066700339317322,53.18000030517578,1.6180000305175781,17.83987808227539,32.08783721923828,23.98050308227539
2005-01-31,2.1610000133514404,23.299999237060547,12.970000267028809,31.049999237060547,37.81999969482422,10.329999923706055,0.19099999964237213,52.5099983215332,1.6180000305175781,17.945619583129883,32.00689697265625,24.26482582092285
2005-02-01,2.124000072479248,23.25,13.050000190734863,31.049999237060547,36.93000030517578,10.329999923706055,0.194582998752594,52.97999954223633,1.6180000305175781,18.066465377807617,32.2677001953125,24.524776458740234
2005-02-02,2.0940001010894775,23.350000381469727,12.960000038146973,31.049999237060547,38.5,10.329999923706055,0.20541700720787048,54.58000183105469,1.6180000305175781,18.421449661254883,32.2677001953125,24.524776458740234
2005-02-03,1.787500023841858,23.399999618530273,13.0,31.049999237060547,38.400001525878906,10.329999923706055,0.2032500058412552,54.59000015258789,1.6180000305175781,18.595165252685547,32.28568649291992,24.411048889160156
2005-02-04,1.7860000133514404,23.549999237060547,13.199999809265137,31.049999237060547,38.84000015258789,10.329999923706055,0.21491700410842896,55.25,1.6180000305175781,18.580059051513672,33.140045166015625,24.703493118286133
2005-02-07,1.784500002861023,23.31999969482422,13.270000457763672,31.049999237060547,38.599998474121094,10.329999923706055,0.21233299374580383,55.0,1.6180000305175781,18.48187255859375,32.97816467285156,24.727863311767578
