year,Asset 1,Asset 2,Asset 3,Asset 4,Asset 5,Asset 6,Asset 7,Asset 8,Asset 9,Asset 10,Asset 11,Asset 12,Asset 1 Std,Asset 2 Std,Asset 3 Std,Asset 4 Std,Asset 5 Std,Asset 6 Std,Asset 7 Std,Asset 8 Std,Asset 9 Std,Asset 10 Std,Asset 11 Std,Asset 12 Std
0,0.08199908271254529,0.0928178680173698,0.07951454977904047,0.09317548585434755,0.09362236667601835,0.06885094494514522,0.08455123480941568,0.07089851925238258,0.07236569005818594,0.08892570182326294,0.09839691399108796,0.0748816837867101,0.0484220437407258,0.046666757447495995,0.04090775485237119,0.05358936626798478,0.05094546524238755,0.04722061610772991,0.042737161825636014,0.040710027441164566,0.040373171349146184,0.055492929493185135,0.051359204087813096,0.04385476812792164
1,0.07095002003368878,0.08672227857723122,0.08913128345849969,0.07661324758969602,0.08207134689603533,0.09146768335430396,0.07778931572323754,0.07973231291841892,0.0996242488601378,0.08612021851752485,0.08118327570458253,0.07859479196014858,0.04746450400602904,0.04971861867809247,0.05061671076943038,0.039680788822152285,0.05381535033249916,0.04201957875463127,0.05176965275862288,0.05210724820267835,0.04372888483439768,0.043453695374028836,0.04364527495347715,0.045849956946562194
2,0.08904395201021717,0.0898125724600894,0.09173646249941417,0.0677208769889105,0.08303393648848648,0.07848172805138996,0.07849503913450809,0.07308071716910317,0.09931519611605576,0.0836692877113819,0.0945260308328129,0.07108420766890049,0.05126087498268466,0.04966646273647979,0.05517387154943888,0.030574737504984458,0.0449031547528287,0.042788623719838666,0.03654634075418109,0.03845678684579505,0.050097769531985734,0.04313472555614356,0.06352098199860298,0.039028399881501245
3,0.1073624125903561,0.07588071620890073,0.08178257896077065,0.06526058051912557,0.06541062128685769,0.0764044145920447,0.07062371985188552,0.09340300813672088,0.0771290697157383,0.09637393953189963,0.09464379625306243,0.09572514465876988,0.050003525152619854,0.04734621253663731,0.04258779788362497,0.03659316148134471,0.035086308824512566,0.03530695071302544,0.037611404278464086,0.04547633585098497,0.039290473067172066,0.04569588612115004,0.044736089574133386,0.048374094843369075
4,0.11741071510173026,0.08435033098572776,0.07807047044237454,0.07930661886930465,0.06573363278238546,0.08197860760348184,0.0821690764632963,0.06760617012069339,0.08860910011544114,0.09506726288014934,0.0698348268866539,0.0898632287979126,0.046723422600376055,0.04606210961223961,0.042632993942969294,0.037502515518217185,0.04359250051437136,0.046427751090699396,0.04447880341772731,0.04107954149076412,0.050781557821254895,0.044599284738914675,0.044718877709036,0.04600808870349877
5,0.08238549259092126,0.10214246612574374,0.07087046906706833,0.08913634791970253,0.07443086396725405,0.09103111605204287,0.09370162572179522,0.08917348464684827,0.08715037343402704,0.07587554859263557,0.07481052561530045,0.06929171967009704,0.046392449135289004,0.0540440170523642,0.036949629964686044,0.04274143087613013,0.03695339377559647,0.04172323806803992,0.044587324795279305,0.04045371134103757,0.045151892297338764,0.04207639485927426,0.04112390733886334,0.042179319233034696
6,0.06636231772246814,0.10031543546134518,0.07538721935734863,0.0748797332424493,0.08478745246926943,0.09080290638265155,0.0677921932722841,0.09040543296862216,0.0976662557039942,0.1051672886170092,0.07427018210291862,0.07216360448371796,0.04115120429160352,0.05296123994540981,0.04608049714562794,0.052763795280267964,0.037839389976834364,0.044461981027933965,0.03395034761523817,0.0485065193274495,0.051135743591197116,0.04916227169503085,0.03752130409699296,0.04947052004462437
7,0.07629396063940866,0.0820602065573136,0.06366918848029204,0.08569973503195104,0.09403793765675454,0.07879785230117185,0.09741129793581509,0.08307239858522301,0.0899728796489182,0.09337846033629917,0.06741418900589148,0.08819195273376647,0.039840779448124926,0.050076739005471375,0.03757179045436089,0.04165734346376748,0.0508633491598241,0.044263223302509556,0.04427447971576442,0.047919926635990734,0.04876573023174606,0.049608080282914115,0.03574997013717556,0.047823805847148675
8,0.07393976701867012,0.07603593440282913,0.0803532357194594,0.09045278414019517,0.08113468438386917,0.07501792579534508,0.06901357603215036,0.09749318047293595,0.0778714447681393,0.08913656764087223,0.0960109889329899,0.09353993072041443,0.060362728472787924,0.04580976064944694,0.037970452918723405,0.044227254166435546,0.046285283425840935,0.043951197427420124,0.04245821732181555,0.04824245264084693,0.053314280081092034,0.04817263729224386,0.04602134168244447,0.05198698927481503
9,0.08757599419248956,0.09605588877484912,0.09179386798115004,0.06753545469116597,0.07698400417963663,0.0888756718841337,0.07969061368632885,0.09733913091144392,0.07035350920188994,0.07260494845076686,0.09549856907909825,0.07569236336719422,0.04111219501013136,0.05279902826413425,0.050904371607373385,0.05013105302608204,0.04484983660394421,0.044153787540698736,0.039032109290699245,0.04352156389822199,0.03569070605379986,0.047125907943176185,0.0473130219770947,0.03996285511797674
